,object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
198,34166,0.189873,-45.586655,328.254458,-68.969298,1,0.0873,0.0909,0.0246,38.0959,0.007,42
199,34243,34.101562,-5.829153,170.247753,-60.638325,1,0.1416,0.5642,0.3631,42.5771,0.019,88
200,34299,346.276581,-64.011238,320.448031,-49.344136,1,0.1901,0.2016,0.0086,39.9759,0.019,62
202,35197,51.679688,-27.447618,222.618229,-55.642263,1,0.2509,0.2366,0.1269,40.367,0.01,42
205,35743,34.277344,-5.67919,170.31493,-60.410322,1,0.0781,0.0752,0.0197,37.6598,0.02,42
208,36085,352.398651,-62.696659,318.017427,-51.967966,1,0.1689,0.1759,0.5357,39.6465,0.02,42
217,37776,346.655182,-63.260487,320.952196,-50.040935,1,0.0,0.0,0.0,,0.019,16
220,38174,1.694561,-45.191612,326.278557,-69.858253,1,1.6152,1.7388,0.1564,45.5843,0.011,88
221,38205,33.75,-4.630479,168.146242,-59.949072,1,0.2945,0.2311,1.2272,40.3089,0.019,42
224,38730,53.261719,-27.615883,223.280041,-54.281374,1,0.0,0.0,0.0,,0.006,16
230,39597,53.085938,-28.122234,224.100909,-54.509752,1,0.128,0.1327,0.0064,38.9763,0.007,62
232,39846,351.382965,-64.011238,317.574052,-50.604657,1,0.1886,0.278,0.6915,40.7654,0.023,62
233,40290,35.859375,-4.630479,171.270769,-58.580806,1,0.3153,0.5118,0.8469,42.3221,0.022,42
235,41738,150.117188,3.732834,235.120533,42.993809,1,0.1206,0.1277,0.0222,38.8865,0.02,42
236,42118,0.574468,-45.98114,327.041068,-68.778764,1,0.1801,0.1977,0.0131,39.9287,0.006,62
237,42224,51.328125,-27.784405,223.130589,-55.999499,1,0.1119,0.0888,0.1482,38.0396,0.013,42
242,42776,152.050781,3.284369,237.157374,44.318466,1,0.0,0.0,0.0,,0.019,16
243,42852,351.321442,-64.198746,317.458993,-50.429931,1,0.6771,0.668,0.0223,43.0226,0.023,88
244,43028,51.679688,-27.447618,222.618229,-55.642263,1,0.1366,0.1364,0.0092,39.0408,0.01,42
248,43413,348.595886,-63.07262,320.023289,-50.71306,1,0.0,0.0,0.0,,0.021,16
252,44102,152.050781,3.284369,237.157374,44.318466,1,0.245,0.264,0.2125,40.6366,0.019,42
255,44480,53.964844,-28.630989,225.14295,-53.813613,1,0.0,0.0,0.0,,0.009,16
257,45060,346.276581,-64.011238,320.448031,-49.344136,1,0.3613,0.33,0.1387,41.1948,0.019,62
260,45203,150.820312,3.134927,236.341348,43.230123,1,0.0,0.0,0.0,,0.016,16
261,45319,348.595886,-63.07262,320.023289,-50.71306,1,0.127,0.0737,0.0272,37.6138,0.021,42
263,45549,52.207031,-28.29155,224.208534,-55.300157,1,0.6733,0.7639,0.0513,43.3795,0.007,42
265,46567,149.414062,3.433834,234.919132,42.24555,1,0.0,0.0,0.0,,0.027,16
266,46804,352.398651,-62.696659,318.017427,-51.967966,1,0.2933,2.3248,0.6338,46.3561,0.02,62
271,48260,52.207031,-28.29155,224.208534,-55.300157,1,0.1677,0.1746,0.4651,39.6283,0.007,42
272,48426,351.73468,-62.884678,318.284128,-51.651217,1,0.0,0.0,0.0,,0.019,16
273,48473,51.855469,-27.953188,223.543603,-55.56147,1,0.0809,0.0825,0.0165,37.8722,0.008,42
275,48687,347.8125,-63.448284,320.128971,-50.202348,1,0.7916,0.8371,0.0551,43.6237,0.021,88
277,48749,348.529419,-61.75544,321.29398,-51.763351,1,1.6645,1.5782,0.0657,45.3252,0.016,88
279,48981,358.648071,-46.37508,329.462659,-67.716008,1,0.0,0.0,0.0,,0.009,16
282,49529,53.613281,-27.953188,223.929533,-54.024772,1,0.1974,0.2117,0.0123,40.0947,0.007,62
287,51178,52.558594,-27.279613,222.538937,-54.845107,1,0.9668,0.9534,0.0188,43.9721,0.008,88
289,51318,34.277344,-5.67919,170.31493,-60.410322,1,0.2987,0.3038,0.0273,40.9868,0.02,62
293,52320,52.910156,-25.944481,220.36635,-54.301439,1,0.1656,2.0324,0.6458,46.0,0.01,88
294,52370,352.711273,-63.823658,316.922299,-51.059403,1,0.0,0.0,0.0,,0.024,16
295,52425,52.910156,-26.276812,220.926149,-54.363918,1,0.1587,0.1182,0.6266,38.7042,0.008,42
300,53354,34.980469,-6.279288,172.180075,-60.389399,1,0.2231,0.2134,0.0125,40.1138,0.023,62
301,53525,349.615387,-63.636005,318.927246,-50.506542,1,0.0,0.0,0.0,,0.018,16
304,53938,53.4375,-29.142223,225.90812,-54.336118,1,0.0,0.0,0.0,,0.008,16
305,54416,347.8125,-63.448284,320.128971,-50.202348,1,0.3708,0.3734,0.0162,41.5087,0.021,42
306,54883,347.617462,-62.508568,321.121462,-50.904708,1,0.7844,0.8578,0.0392,43.6891,0.019,88
310,55033,151.171875,1.342993,238.60252,42.464379,1,0.492,0.5345,0.0204,42.4355,0.026,42
311,55060,51.855469,-28.630989,224.73326,-55.649872,1,0.0234,0.0824,0.0202,37.868,0.009,42
315,55419,150.820312,3.732834,235.666318,43.572109,1,0.0967,0.1092,0.0137,38.519,0.016,62
318,56245,1.708861,-45.586655,325.688716,-69.520253,1,0.0,0.0,0.0,,0.011,16
319,56334,358.3125,-44.993881,332.185785,-68.685906,1,0.1955,0.1948,0.01,39.8925,0.009,62
323,56821,52.207031,-26.610098,221.298836,-55.042928,1,0.0775,0.0884,0.0181,38.0309,0.014,62
325,56987,33.574219,-6.579593,170.455585,-61.548219,1,0.291,0.3152,0.0132,41.0794,0.021,62
327,57237,52.207031,-26.610098,221.298836,-55.042928,1,0.2544,0.3807,0.6581,41.558,0.014,42
332,58174,348.529419,-61.75544,321.29398,-51.763351,1,1.1032,1.1018,0.1226,44.3607,0.016,42
334,58323,349.615387,-63.636005,318.927246,-50.506542,1,1.0155,1.0187,0.0471,44.15,0.018,88
335,59068,34.277344,-5.079716,169.526841,-59.95664,1,0.5716,0.5429,0.1404,42.4762,0.019,42
339,59463,52.03125,-26.443335,220.963669,-55.168557,1,0.1439,0.1438,0.0169,39.1654,0.014,42
340,59580,1.753247,-46.768478,324.030235,-68.498041,1,0.4178,0.502,0.7485,42.2716,0.014,42
346,60350,52.558594,-27.279613,222.538937,-54.845107,1,0.5295,0.5982,0.1284,42.731,0.008,62
347,60376,51.855469,-27.953188,223.543603,-55.56147,1,0.0,0.0,0.0,,0.008,16
352,61101,151.171875,2.537361,237.288526,43.169764,1,0.0,0.0,0.0,,0.024,16
353,61165,53.789062,-27.784405,223.685697,-53.845803,1,0.1089,0.1122,0.014,38.5832,0.009,62
358,62230,53.085938,-27.784405,223.525509,-54.460748,1,0.0,0.0,0.0,,0.007,16
363,62908,150.820312,3.134927,236.341348,43.230123,1,0.2372,0.2111,0.0189,40.0878,0.016,62
366,63860,351.382965,-64.011238,317.574052,-50.604657,1,0.1617,0.1988,0.0128,39.9412,0.023,42
368,64485,348.586945,-64.573555,318.693903,-49.477869,1,0.0,0.0,0.0,,0.018,16
369,64854,1.723404,-45.98114,325.117958,-69.180825,1,0.1163,0.0705,0.0098,37.5117,0.01,62
371,64896,347.84671,-64.760857,318.929827,-49.143596,1,0.0991,0.1224,1.1874,38.7854,0.019,42
376,66126,348.908447,-63.823658,319.169886,-50.176186,1,0.0601,0.0718,0.0163,37.5531,0.018,42
380,66852,2.07113,-45.191612,325.606223,-69.989264,1,0.5802,0.5679,0.0103,42.5945,0.011,42
381,66904,349.285706,-62.884678,319.786163,-51.046461,1,0.0,0.0,0.0,,0.018,16
382,66967,150.996094,2.388015,237.313912,42.939977,1,0.458,0.4551,0.0163,42.0168,0.021,88
384,67245,150.292969,2.686724,236.427488,42.541447,1,0.0482,0.0598,0.0147,37.1379,0.016,42
389,67898,347.8125,-63.448284,320.128971,-50.202348,1,0.3824,0.3802,0.0081,41.5546,0.021,42
392,68276,33.398438,-3.732834,166.49228,-59.466614,1,0.0251,0.0342,0.0167,35.8818,0.022,42
394,68667,348.595886,-63.07262,320.023289,-50.71306,1,0.0,0.0,0.0,,0.021,16
395,68835,348.908447,-63.823658,319.169886,-50.176186,1,0.0177,0.0504,0.0318,36.753,0.018,42
398,69490,51.855469,-26.276812,220.627031,-55.293792,1,0.2919,0.4825,0.1693,42.1687,0.014,42
399,69767,1.694561,-45.191612,326.278557,-69.858253,1,0.1603,2.4521,1.2066,46.4968,0.011,62
401,70135,0.949367,-45.586655,326.991548,-69.251686,1,0.45,0.4728,0.0167,42.116,0.013,42
403,70272,34.277344,-5.079716,169.526841,-59.95664,1,0.3088,0.3314,0.0357,41.2058,0.019,88
404,70276,151.171875,1.342993,238.60252,42.464379,1,0.8102,0.7948,0.0774,43.4853,0.026,88
405,70430,150.820312,1.64151,237.994507,42.358984,1,0.0451,0.0858,0.0255,37.9624,0.02,42
410,71068,34.453125,-5.229529,169.987075,-59.956185,1,0.2726,0.2679,1.0038,40.673,0.019,88
412,71084,52.558594,-27.279613,222.538937,-54.845107,1,0.1522,0.1472,0.0208,39.2216,0.008,42
413,71126,53.964844,-28.630989,225.14295,-53.813613,1,0.3021,0.5146,0.5741,42.3363,0.009,62
415,71676,53.4375,-29.142223,225.90812,-54.336118,1,0.4396,0.4103,0.0209,41.7496,0.008,88
416,71890,348.595886,-63.07262,320.023289,-50.71306,1,0.7036,0.7024,0.0078,43.1558,0.021,88
418,72053,53.613281,-27.953188,223.929533,-54.024772,1,0.2832,0.2616,0.019,40.6141,0.007,88
431,73509,34.453125,-5.229529,169.987075,-59.956185,1,0.2953,0.2879,0.0259,40.8522,0.019,42
434,75116,349.891296,-64.573555,317.972107,-49.786192,1,0.0,0.0,0.0,,0.023,16
437,75598,1.723404,-45.98114,325.117958,-69.180825,1,0.1652,0.1477,0.0151,39.2287,0.01,42
439,75754,151.347656,3.583322,236.252362,43.918627,1,0.0,0.0,0.0,,0.015,16
442,75987,54.667969,-27.615883,223.610785,-53.05084,1,0.9014,0.8506,0.0414,43.6664,0.009,88
445,76305,349.891296,-64.573555,317.972107,-49.786192,1,0.0,0.0,0.0,,0.023,16
450,77192,151.347656,4.181528,235.568369,44.259942,1,0.3227,0.2764,0.0329,40.7513,0.016,62
452,77292,34.277344,-5.079716,169.526841,-59.95664,1,0.125,0.189,0.2309,39.8194,0.019,62
454,77340,346.5,-62.3204,321.951129,-50.736054,1,0.8207,0.8217,0.0401,43.5741,0.02,88
457,77623,0.190678,-45.783966,327.956322,-68.803772,1,0.2765,0.2994,0.0135,40.9507,0.005,42
458,77825,349.046051,-61.943836,320.79653,-51.753706,1,0.1071,0.1065,0.016,38.4603,0.017,42
469,79155,1.666667,-44.399834,327.51919,-70.529554,1,0.4097,0.4154,0.016,41.7815,0.009,42
470,79235,52.03125,-26.443335,220.963669,-55.168557,1,0.1639,0.1669,0.0564,39.5206,0.014,42
474,79819,150.820312,1.64151,237.994507,42.358984,1,0.1742,0.1725,0.0134,39.5994,0.02,42
475,79921,352.132874,-63.636005,317.424173,-51.095855,1,0.1638,0.1709,0.0219,39.5766,0.021,42
478,80780,152.050781,3.284369,237.157374,44.318466,1,0.1684,0.1902,0.0581,39.8341,0.019,42
480,80852,151.347656,3.583322,236.252362,43.918627,1,0.2569,0.2659,0.0082,40.6545,0.015,62
482,81000,150.996094,2.985506,236.647967,43.28735,1,0.2989,0.3106,0.01,41.0422,0.02,42
483,81252,33.574219,-4.780192,168.064587,-60.175886,1,0.1494,0.1737,0.6985,39.6157,0.019,62
484,81464,149.414062,3.433834,234.919132,42.24555,1,0.2854,0.2818,0.3207,40.7987,0.027,42
487,82401,51.855469,-28.630989,224.73326,-55.649872,1,0.0,0.0,0.0,,0.009,16
488,82409,348.595886,-63.07262,320.023289,-50.71306,1,0.1147,2.6274,1.1973,46.6786,0.021,42
490,82740,349.615387,-63.636005,318.927246,-50.506542,1,1.0263,1.0228,0.2611,44.1609,0.018,88
499,84306,151.171875,2.537361,237.288526,43.169764,1,0.0,0.0,0.0,,0.024,16
505,85789,53.4375,-29.142223,225.90812,-54.336118,1,0.299,0.2893,0.0367,40.8644,0.008,62
506,86456,33.574219,-5.379379,168.83809,-60.637536,1,0.2127,0.2191,0.0141,40.1785,0.017,42
510,87180,150.820312,1.64151,237.994507,42.358984,1,0.1782,0.182,0.0103,39.7288,0.02,62
512,87498,152.050781,2.985506,237.495952,44.143927,1,0.0,0.0,0.0,,0.019,16
523,88980,351.382965,-64.011238,317.574052,-50.604657,1,0.0,0.0,0.0,,0.023,16
525,89298,359.811707,-45.191612,329.485675,-69.150905,1,0.0,0.0,0.0,,0.01,16
531,90534,152.050781,3.284369,237.157374,44.318466,1,0.1759,0.1913,0.0131,39.8481,0.019,62
533,90814,348.595886,-63.07262,320.023289,-50.71306,1,0.2252,0.2208,0.0172,40.1971,0.021,62
537,91335,151.699219,3.583322,236.533224,44.205648,1,1.0655,1.4889,0.2658,45.1692,0.016,88
540,91610,346.130127,-63.07262,321.423103,-50.042305,1,0.2326,0.2302,0.007,40.2992,0.02,42
545,92354,51.328125,-27.784405,223.130589,-55.999499,1,0.5449,0.5807,0.0374,42.653,0.013,88
546,92566,1.753247,-46.768478,324.030235,-68.498041,1,0.0,0.0,0.0,,0.014,16
548,92904,347.8125,-63.448284,320.128971,-50.202348,1,0.2536,0.2814,0.0325,40.7958,0.021,62
552,93509,51.855469,-26.276812,220.627031,-55.293792,1,0.0587,0.0644,0.0151,37.3066,0.014,42
554,94004,52.910156,-27.953188,223.774083,-54.639214,1,0.2354,0.2257,0.0162,40.251,0.007,62
555,94107,34.980469,-6.279288,172.180075,-60.389399,1,0.0,0.0,0.0,,0.023,16
557,94613,2.457983,-45.389202,324.632685,-69.945696,1,0.0739,0.0616,0.0188,37.2044,0.011,62
561,95369,53.613281,-28.630989,225.073365,-54.119461,1,0.1313,0.5834,0.7684,42.6652,0.006,62
563,95483,150.820312,3.732834,235.666318,43.572109,1,0.8512,0.8164,0.0436,43.5568,0.016,88
564,95508,149.414062,2.238686,236.239766,41.565558,1,0.6107,0.548,0.0306,42.5009,0.017,88
567,95690,351.73468,-62.884678,318.284128,-51.651217,1,0.3442,0.3507,0.0052,41.3494,0.019,42
570,96284,152.050781,3.284369,237.157374,44.318466,1,0.1593,2.4014,0.4125,46.4417,0.019,42
578,98570,1.708861,-45.586655,325.688716,-69.520253,1,0.6197,0.5296,0.0328,42.4113,0.011,42
581,99050,52.207031,-26.610098,221.298836,-55.042928,1,0.2972,0.3036,0.1492,40.9851,0.014,42
583,99280,359.811707,-45.191612,329.485675,-69.150905,1,0.2037,0.215,0.0079,40.1324,0.01,62
586,99452,352.711273,-63.823658,316.922299,-51.059403,1,0.842,0.8479,0.0465,43.6581,0.024,88
588,99862,52.207031,-28.29155,224.208534,-55.300157,1,0.581,0.5733,0.0141,42.6194,0.007,42
591,100097,348.529419,-61.75544,321.29398,-51.763351,1,0.1566,0.1745,0.0186,39.6271,0.016,42
592,100133,346.655182,-63.260487,320.952196,-50.040935,1,0.2309,0.2215,0.019,40.2046,0.019,42
593,100331,52.207031,-26.610098,221.298836,-55.042928,1,0.1684,0.1999,0.0173,39.9556,0.014,42
596,101374,51.855469,-26.276812,220.627031,-55.293792,1,0.0,0.0,0.0,,0.014,16
597,101489,359.816315,-44.003082,331.45134,-70.123054,1,0.0721,0.0695,0.0025,37.4803,0.013,42
600,102036,53.789062,-27.784405,223.685697,-53.845803,1,0.2331,0.2269,0.0197,40.2635,0.009,42
601,102330,148.886719,2.686724,235.347248,41.389003,1,0.0,0.0,0.0,,0.028,16
606,102864,0.574468,-45.98114,327.041068,-68.778764,1,0.2123,0.2254,0.0097,40.2473,0.006,42
608,103026,348.529419,-61.75544,321.29398,-51.763351,1,0.1949,0.2006,0.0174,39.9637,0.016,42
614,103354,150.117188,2.836105,236.124718,42.483719,1,2.7124,2.7655,0.0801,46.8131,0.016,88
618,103967,0.190678,-45.783966,327.956322,-68.803772,1,0.5094,0.4789,0.0608,42.1493,0.005,42
623,104523,152.050781,3.284369,237.157374,44.318466,1,0.0,0.0,0.0,,0.019,16
624,104526,349.615387,-63.636005,318.927246,-50.506542,1,0.2353,0.2389,0.0148,40.3902,0.018,42
628,106429,152.050781,2.985506,237.495952,44.143927,1,0.0,0.0,0.0,,0.019,16
629,106434,33.574219,-4.780192,168.064587,-60.175886,1,0.2861,0.2795,0.0098,40.7789,0.019,62
630,106594,0.58952,-47.161343,325.385896,-67.769893,1,0.2403,0.237,1.0591,40.371,0.009,88
636,107439,150.46875,3.732834,235.392208,43.283244,1,0.9187,1.5247,0.3061,45.2328,0.02,88
639,107615,150.117188,2.836105,236.124718,42.483719,1,0.1323,2.3872,0.9055,46.426,0.016,42
642,108021,150.996094,4.181528,235.291975,43.970869,1,0.2815,0.3756,0.8142,41.5232,0.015,62
646,108487,359.816315,-44.003082,331.45134,-70.123054,1,0.1787,0.2401,0.6645,40.4026,0.013,42
656,109860,0.929752,-44.597992,328.531426,-70.083244,1,0.2708,0.2639,0.0184,40.6357,0.011,42
657,109903,150.996094,2.388015,237.313912,42.939977,1,0.3892,0.3579,0.0137,41.4006,0.021,62
658,109937,149.414062,3.433834,234.919132,42.24555,1,0.662,0.6423,0.0188,42.919,0.027,88
659,110241,34.453125,-5.229529,169.987075,-59.956185,1,0.1072,0.0924,0.4007,38.1327,0.019,42
660,110257,148.886719,2.686724,235.347248,41.389003,1,0.9318,0.8495,0.0379,43.6631,0.028,88
662,110304,53.261719,-27.615883,223.280041,-54.281374,1,0.2475,0.5457,0.2676,42.4899,0.006,62
664,110551,51.328125,-27.447618,222.535046,-55.950727,1,0.4861,0.3027,0.3931,40.9783,0.013,88
665,110768,351.73468,-62.884678,318.284128,-51.651217,1,2.9378,2.8626,1.1139,46.9035,0.019,88
667,111281,0.58952,-47.161343,325.385896,-67.769893,1,1.4967,1.6014,0.0895,45.3643,0.009,42
672,111799,52.558594,-27.279613,222.538937,-54.845107,1,0.2813,0.5741,0.4749,42.6227,0.008,42
675,112629,346.276581,-64.011238,320.448031,-49.344136,1,0.0,0.0,0.0,,0.019,16
681,113206,52.207031,-28.29155,224.208534,-55.300157,1,0.2446,0.2208,0.0078,40.1969,0.007,42
687,114341,151.699219,3.583322,236.533224,44.205648,1,0.1709,2.3232,0.5051,46.3542,0.016,42
692,115053,33.925781,-5.979157,170.179895,-60.866303,1,0.1649,0.1424,0.2329,39.1427,0.022,42
697,115670,151.347656,3.583322,236.252362,43.918627,1,0.0,0.0,0.0,,0.015,16
699,115859,148.886719,2.686724,235.347248,41.389003,1,1.4248,1.2871,0.1757,44.7782,0.028,88
701,116132,150.292969,2.686724,236.427488,42.541447,1,0.0878,0.0965,0.0207,38.2336,0.016,62
703,116570,51.855469,-27.953188,223.543603,-55.56147,1,0.0,0.0,0.0,,0.008,16
705,116818,359.805206,-46.768478,327.135979,-67.829903,1,0.6528,0.7091,0.0211,43.1811,0.011,88
708,117184,352.132874,-63.636005,317.424173,-51.095855,1,0.0,0.0,0.0,,0.021,16
720,119383,0.949367,-45.586655,326.991548,-69.251686,1,0.3501,0.2602,0.6723,40.6012,0.013,42
722,119647,151.523438,3.134927,236.900695,43.80317,1,0.1844,0.1571,0.021,39.3762,0.019,62
725,120356,32.695312,-4.929937,166.868469,-60.84123,1,0.0582,0.0543,0.0185,36.9203,0.018,42
729,121224,359.811707,-45.191612,329.485675,-69.150905,1,0.1244,2.3005,0.4304,46.3283,0.01,42
730,121266,151.347656,3.583322,236.252362,43.918627,1,0.4062,0.5002,0.0481,42.2623,0.015,42
731,121301,52.207031,-28.630989,224.800211,-55.343637,1,0.1459,0.1449,1.125,39.1845,0.009,62
732,121440,53.613281,-28.630989,225.073365,-54.119461,1,0.223,0.2219,0.153,40.2089,0.006,42
734,121704,359.805206,-46.768478,327.135979,-67.829903,1,1.5357,1.5245,0.1053,45.2324,0.011,88
735,121705,352.132874,-63.636005,317.424173,-51.095855,1,0.1125,0.1219,0.0187,38.7767,0.021,42
744,123151,52.207031,-28.29155,224.208534,-55.300157,1,0.2548,0.2657,0.0184,40.6528,0.007,62
745,123211,150.996094,2.985506,236.647967,43.28735,1,1.6177,1.6654,0.0205,45.4691,0.02,88
746,123244,1.363636,-46.768478,324.669342,-68.371416,1,0.4582,0.3682,0.3963,41.4728,0.008,42
750,123926,151.171875,1.342993,238.60252,42.464379,1,0.0,0.0,0.0,,0.026,16
751,123927,150.46875,3.732834,235.392208,43.283244,1,0.0,0.0,0.0,,0.02,16
755,124361,51.855469,-27.953188,223.543603,-55.56147,1,0.3256,0.342,0.8779,41.2856,0.008,88
